Surface_Area,Depth,Breadth,Condition,Maintenance_Suggestions,Maintenance_Frequency,Prev_Maintenance_Cost,Auction_Price
412.4581466146408,38.95540048459623,32.189571799306506,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),455952.76508574886,225427.56187834722
231.43372771876685,17.935463116100642,79.26537812131318,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),394557.84916925326,121628.40543182091
32.92439747805368,15.697651198683745,40.88408896460109,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),220252.85597855452,14108.483343550124
30.64296140290827,34.535320878653195,57.68857838393368,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),495955.97971390316,29018.754880053944
170.02185435235754,5.4948394229241195,75.82001016972461,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),497542.73875186965,34329.81180251232
392.77079354054155,34.69297857913655,10.90274389377243,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),274447.09210546233,57741.48971624674
253.89847560336872,47.191179992064946,5.148438673681486,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),74571.73128461262,31701.33852276783
12.187439531857727,39.33970866928893,3.0962300297072636,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),462579.10329921875,4415.952601346988
170.9239321277303,21.821758263454637,58.09801602042475,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),383438.66702334257,67703.79016100323
94.53757847093034,19.938425305236017,63.53217933893279,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),358868.37201891415,35906.43350057303
498.22086154625026,46.95771712948148,67.68461392634843,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),194771.98398066394,576116.6556155798
194.72739146108358,34.04046217747991,26.660746533823527,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),231418.29668579405,85739.12099440517
10.08899873159049,12.938657365001967,58.22931578342344,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),129565.6895207723,657.4012798361746
290.89206837005196,28.46445138007442,14.990952625913792,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),456563.1220167785,40554.78845878126
30.727616117293625,31.183035698420078,79.76292462493613,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),144766.05416412101,30038.321448898347
346.46529420062745,30.352638619343775,94.75342360276656,Stable,Regular maintenance of inlets and outlets required.,Low (Every 5 Years),369999.352796896,380654.8865318319
220.2756346994713,35.54267874329832,71.6873343662282,High Erosion,Strengthen shores to prevent erosion.,Moderate (Every 2-3 Years),129694.53645042084,185341.8133672824
340.5702787908607,35.71306839896941,46.37722507453989,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),264150.7315422556,259131.2363302439
29.91808517014051,47.199016780700255,94.42497971238407,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),309266.5089750067,56348.7820736663
80.85573168530121,47.32810997930779,87.35215806703638,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),227573.8647333098,122756.06360957977
377.36921304364387,44.084209073543015,89.66427412561033,High Sedimentation,Increase depth by dredging and use sediment for shore strengthening.,High (Every Year),163821.17928349032,502432.3777933932
